  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Fluid-Mesh:Force)
    24      46   6.61009351e-04   1.92966571e-03
    24      47   9.51475440e-04   1.84900146e-03
    24      48   4.51152688e-04   2.76912268e-03
    24      49   3.01806494e-04   9.01894662e-04
    24      50   3.09960330e-04   1.25313115e-04
    25       1   8.06469609e-04   1.15706232e-03
    25       2   9.69839184e-04   9.25186886e-05
    25       3   7.29239339e-04   1.10199051e-04
    25       4   6.79553200e-04   1.10572576e-04
    25       5   9.76211426e-04   5.45609206e-03
    25       6   5.88916242e-04   5.64584210e-03
    25       7   2.73129347e-04   1.74766627e-04
    25       8   4.25625542e-05   8.74998766e-05
    25       9   4.29972065e-04   6.83825787e-05
    25      10   2.08836399e-04   3.84628758e-05
    25      11   1.49090017e-04   1.29453511e-05
    25      12   1.33195617e-06   2.93009135e-05
    25      13   1.26515971e-06   2.90037200e-07
    26       1   1.23215724e-04   5.10569099e-04
    26       2   7.11143259e-06   5.72288034e-05
    26       3   2.88231953e-05   1.49529979e-04
    26       4   1.20576750e-03   6.66852532e-03
